"20464","ST BONNET DE FOUR","3390"
"20501","BRAUD ET ST LOUIS","33820"
"20502","CABARA","33420"
"20503","CENON","33150"
"20504","HAUX","33550"
"20505","LOUPIAC DE LA REOLE","33190"
"20506","LE PORGE","33680"
"20507","PREIGNAC","33210"
"20508","PUJOLS SUR CIRON","33210"
"20509","ROAILLAN","33210"
"20510","ST ANTOINE DU QUEYRET","33790"
"20511","ST GENES DE FRONSAC","33240"
"20512","ST MARTIN DE LERM","33540"
"20513","ST VINCENT DE PAUL","33440"
"20514","LA SAUVE","33670"
"20515","SIGALENS","33690"
"20516","SOUSSANS","33460"
"20909","BRAIZE","3360"
"20916","MONTBEUGNY","3340"
"21202","CHAPEAU","3340"
"21927","AURIOLLES","33790"
"21928","BERSON","33390"
"21929","CAMIAC ET ST DENIS","33420"
"21930","FOSSES ET BALEYSSAC","33190"
"21931","GENERAC","33920"
"21932","LESTIAC SUR GARONNE","33550"
"21933","LOUPES","33370"
"21934","MIOS","33380"
"21935","MONPRIMBLANC","33410"
"21936","PERISSAC","33240"
"21937","PETIT PALAIS ET CORNEMPS","33570"
"21938","ST EXUPERY","33190"
"21939","ST GERMAIN DE GRAVE","33490"
"21940","ST HILAIRE DU BOIS","33540"
"22053","BOURDELLES","33190"
"22054","CAPLONG","33220"
"22055","CARIGNAN DE BORDEAUX","33360"
"22056","COIMERES","33210"
"22057","FOURS","33390"
"22058","GAURIAGUET","33240"
"22059","LARUSCADE","33620"
"22060","MARGAUX","33460"
"22061","MOULIETS ET VILLEMARTIN","33350"
"22062","ORDONNAC","33340"
"22063","PELLEGRUE","33790"
"22064","PLEINE SELVE","33820"
"22065","QUEYRAC","33340"
"22066","ST AUBIN DE BRANNE","33420"
"22067","ST DENIS DE PILE","33910"
"22068","STE FOY LA GRANDE","33220"
"22069","ST LAURENT DES COMBES","33330"
"22070","ST MARTIN DU PUY","33540"
"22071","ST PEY D ARMENS","33330"
"22072","UZESTE","33730"
"22073","VILLEGOUGE","33141"
"23024","CHAMBERAT","3370"
"23025","COUTANSOUZE","3330"
"23030","ISLE ET BARDAIS","3360"
"23908","ANGLADE","33390"
"23909","BUDOS","33720"
"23910","CAMBLANES ET MEYNAC","33360"
"23911","LE FIEU","33230"
"23912","LAMARQUE","33460"
"23913","LAROQUE","33410"
"23914","LUCMAU","33840"
"23915","MACAU","33460"
"23916","ST CIBARD","33570"
"23917","ST ETIENNE DE LISSE","33330"
"23918","ST LAURENT DU BOIS","33540"
"23919","ST SAUVEUR DE PUYNORMAND","33660"
"23920","ST SEURIN DE CADOURNE","33180"
